==== bench-matrix run 2026-05-03T03:50:10+00:00 RUNS=3 FRAMES=240 ====
rule: no -flto in a_flags; LDFLAGS=-fno-lto for all.so
P8_link_-Wl-O2--no-undefined--gc-secti             size=3575872 best=103.15805550476452 median=102.95958234984401 mean=102.425 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -Wl\,-O2\,--no-undefined\,--gc-sections\,-z\,now
P8_link_-fuse-ldlld-21 BUILD_FAIL_AOT  astro_cs_build: make failed (exit 512)
P8_link_-fuse-ldlld-21-Wl--icfall BUILD_FAIL_AOT  astro_cs_build: make failed (exit 512)
P8_link_-fuse-ldgold                               size=3575872 best=103.22545364073527 median=103.0518130429516 mean=102.891 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fuse-ld=gold
P8_link_-fuse-ldgold-Wl--icfall                    size=3575872 best=103.19012853209878 median=102.60945302099522 mean=102.790 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fuse-ld=gold\ -Wl\,--icf=all
P5_gcc-13_pgo_O2marchnative                        size=3391552 best=100.34485516255478 median=100.12198194178102 mean=100.114 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O2 a=-O2\ -march=native
P5_gcc-13_pgo_O3marchnative                        size=3883256 best=97.56647845657083 median=96.18262694610017 mean=96.623 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O2 a=-O3\ -march=native
P5_gcc-13_pgo_O2marchnativefunrollloops            size=3989568 best=100.17373797513986 median=98.3789897236751 mean=98.962 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O2 a=-O2\ -march=native\ -funroll-loops
P5_gcc-13_pgo_O2marchnativeparammaxinli            size=3391552 best=100.94331073958342 median=100.27741635888263 mean=100.004 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O2 a=-O2\ -march=native\ --param=max-inline-insns-auto=400
P5_gcc-13_pgo_O2marchnativefipaptafipac            size=3391552 best=100.85088113391787 median=99.93318580356618 mean=99.847 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-13 k=-O2 a=-O2\ -march=native\ -fipa-pta\ -fipa-cp-clone
P5_gcc-15_pgo_O2marchnative                        size=3575872 best=102.87572397287757 median=101.77007213649215 mean=101.769 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O2 a=-O2\ -march=native
P5_gcc-15_pgo_O3marchnative                        size=4166216 best=99.91475272359992 median=98.96152415478964 mean=99.273 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O2 a=-O3\ -march=native
P5_gcc-15_pgo_O2marchnativefunrollloops            size=4153408 best=101.28486151180945 median=101.1624578124452 mean=101.068 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O2 a=-O2\ -march=native\ -funroll-loops
P5_gcc-15_pgo_O2marchnativeparammaxinli            size=3575872 best=101.45231239688094 median=101.27113046774198 mean=101.302 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O2 a=-O2\ -march=native\ --param=max-inline-insns-auto=400
P5_gcc-15_pgo_O2marchnativefipaptafipac            size=3575872 best=102.40302349964358 median=102.37423133975578 mean=102.075 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O2 a=-O2\ -march=native\ -fipa-pta\ -fipa-cp-clone
P5_gcc-16_pgo_O2marchnative                        size=3686520 best=104.65243442959815 median=102.45216523267528 mean=103.018 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O2 a=-O2\ -march=native
P5_gcc-16_pgo_O3marchnative                        size=4219416 best=98.39003188221156 median=98.27768251622949 mean=97.921 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O2 a=-O3\ -march=native
P5_gcc-16_pgo_O2marchnativefunrollloops            size=4259960 best=99.68799872408707 median=98.13519147193868 mean=98.521 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O2 a=-O2\ -march=native\ -funroll-loops
P5_gcc-16_pgo_O2marchnativeparammaxinli            size=3686520 best=102.59085336937163 median=101.83166884568855 mean=101.666 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O2 a=-O2\ -march=native\ --param=max-inline-insns-auto=400
P5_gcc-16_pgo_O2marchnativefipaptafipac            size=3686520 best=102.28518164873228 median=100.88958720605369 mean=101.268 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O2 a=-O2\ -march=native\ -fipa-pta\ -fipa-cp-clone
